#NAME?,0.0074,ATM,0.5,15.48
1D,0.0074,35D_CALL,0.35,15.3375
1D,0.0074,35D_PUT,0.65,15.8025
1D,0.0074,25D_CALL,0.25,15.285
1D,0.0074,25D_PUT,0.75,16.105
1D,0.0074,15D_CALL,0.15,15.2575
1D,0.0074,15D_PUT,0.85,16.4625
1D,0.0074,10D_CALL,0.1,15.275
1D,0.0074,10D_PUT,0.9,16.725
1W,0.0184,ATM,0.5,17.18
1W,0.0184,35D_CALL,0.35,17.0225
1W,0.0184,35D_PUT,0.65,17.4875
1W,0.0184,25D_CALL,0.25,16.99
1W,0.0184,25D_PUT,0.75,17.795
1W,0.0184,15D_CALL,0.15,17.035
1W,0.0184,15D_PUT,0.85,18.22
1W,0.0184,10D_CALL,0.1,17.1125
1W,0.0184,10D_PUT,0.9,18.5125
2W,0.0376,ATM,0.5,14.03
2W,0.0376,35D_CALL,0.35,13.8025
2W,0.0376,35D_PUT,0.65,14.4275
2W,0.0376,25D_CALL,0.25,13.7175
2W,0.0376,25D_PUT,0.75,14.8175
2W,0.0376,15D_CALL,0.15,13.7075
2W,0.0376,15D_PUT,0.85,15.3225
2W,0.0376,10D_CALL,0.1,13.7425
2W,0.0376,10D_PUT,0.9,15.6725
3W,0.0567,ATM,0.5,12.4025
3W,0.0567,35D_CALL,0.35,12.16
3W,0.0567,35D_PUT,0.65,12.82
3W,0.0567,25D_CALL,0.25,12.0725
3W,0.0567,25D_PUT,0.75,13.2375
3W,0.0567,15D_CALL,0.15,12.0625
3W,0.0567,15D_PUT,0.85,13.7725
3W,0.0567,10D_CALL,0.1,12.1025
3W,0.0567,10D_PUT,0.9,14.1475
1M,0.0896,ATM,0.5,10.7375
1M,0.0896,35D_CALL,0.35,10.4825
1M,0.0896,35D_PUT,0.65,11.1875
1M,0.0896,25D_CALL,0.25,10.3863
1M,0.0896,25D_PUT,0.75,11.6438
1M,0.0896,15D_CALL,0.15,10.3863
1M,0.0896,15D_PUT,0.85,12.2188
1M,0.0896,10D_CALL,0.1,10.43
1M,0.0896,10D_PUT,0.9,12.625
2M,0.1691,ATM,0.5,10.3225
2M,0.1691,35D_CALL,0.35,10.0125
2M,0.1691,35D_PUT,0.65,10.8575
2M,0.1691,25D_CALL,0.25,9.8812
2M,0.1691,25D_PUT,0.75,11.3837
2M,0.1691,15D_CALL,0.15,9.8575
2M,0.1691,15D_PUT,0.85,12.0475
2M,0.1691,10D_CALL,0.1,9.8875
2M,0.1691,10D_PUT,0.9,12.5125
3M,0.2458,ATM,0.5,10.085
3M,0.2458,35D_CALL,0.35,9.7425
3M,0.2458,35D_PUT,0.65,10.6675
3M,0.2458,25D_CALL,0.25,9.5963
3M,0.2458,25D_PUT,0.75,11.2688
3M,0.2458,15D_CALL,0.15,9.6075
3M,0.2458,15D_PUT,0.85,12.0425
3M,0.2458,10D_CALL,0.1,9.6663
3M,0.2458,10D_PUT,0.9,12.5838
4M,0.3362,ATM,0.5,10.3875
4M,0.3362,35D_CALL,0.35,9.94
4M,0.3362,35D_PUT,0.65,11.09
4M,0.3362,25D_CALL,0.25,9.7387
4M,0.3362,25D_PUT,0.75,11.8012
4M,0.3362,15D_CALL,0.15,9.6862
4M,0.3362,15D_PUT,0.85,12.7587
4M,0.3362,10D_CALL,0.1,9.7212
4M,0.3362,10D_PUT,0.9,13.4137
6M,0.4978,ATM,0.5,10.855
6M,0.4978,35D_CALL,0.35,10.2688
6M,0.4978,35D_PUT,0.65,11.7313
6M,0.4978,25D_CALL,0.25,9.98
6M,0.4978,25D_PUT,0.75,12.63
6M,0.4978,15D_CALL,0.15,9.8838
6M,0.4978,15D_PUT,0.85,13.7863
6M,0.4978,10D_CALL,0.1,9.89
6M,0.4978,10D_PUT,0.9,14.575
9M,0.7554,ATM,0.5,10.655
9M,0.7554,35D_CALL,0.35,10.1075
9M,0.7554,35D_PUT,0.65,11.4825
9M,0.7554,25D_CALL,0.25,9.8525
9M,0.7554,25D_PUT,0.75,12.3375
9M,0.7554,15D_CALL,0.15,9.8125
9M,0.7554,15D_PUT,0.85,13.4725
9M,0.7554,10D_CALL,0.1,9.8575
9M,0.7554,10D_PUT,0.9,14.2625
1Y,1.0047,ATM,0.5,10.5675
1Y,1.0047,35D_CALL,0.35,10.0538
1Y,1.0047,35D_PUT,0.65,11.3613
1Y,1.0047,25D_CALL,0.25,9.8238
1Y,1.0047,25D_PUT,0.75,12.1863
1Y,1.0047,15D_CALL,0.15,9.8375
1Y,1.0047,15D_PUT,0.85,13.3075
1Y,1.0047,10D_CALL,0.1,9.9238
1Y,1.0047,10D_PUT,0.9,14.1013
18M,1.5033,ATM,0.5,10.71
18M,1.5033,35D_CALL,0.35,10.2988
18M,1.5033,35D_PUT,0.65,11.3813
18M,1.5033,25D_CALL,0.25,10.145
18M,1.5033,25D_PUT,0.75,12.115
18M,1.5033,15D_CALL,0.15,10.215
18M,1.5033,15D_PUT,0.85,13.15
18M,1.5033,10D_CALL,0.1,10.335
18M,1.5033,10D_PUT,0.9,13.915
2Y,2.0047,ATM,0.5,10.8
2Y,2.0047,35D_CALL,0.35,10.4588
2Y,2.0047,35D_PUT,0.65,11.4013
2Y,2.0047,25D_CALL,0.25,10.345
2Y,2.0047,25D_PUT,0.75,12.075
2Y,2.0047,15D_CALL,0.15,10.48
2Y,2.0047,15D_PUT,0.85,13.035
2Y,2.0047,10D_CALL,0.1,10.6513
2Y,2.0047,10D_PUT,0.9,13.7588
3Y,3.0047,ATM,0.5,11.0475
3Y,3.0047,35D_CALL,0.35,10.9688
3Y,3.0047,35D_PUT,0.65,11.3613
3Y,3.0047,25D_CALL,0.25,11.065
3Y,3.0047,25D_PUT,0.75,11.79
3Y,3.0047,15D_CALL,0.15,11.4225
3Y,3.0047,15D_PUT,0.85,12.4975
3Y,3.0047,10D_CALL,0.1,11.7375
3Y,3.0047,10D_PUT,0.9,13.0725
4Y,4.0047,ATM,0.5,11.34
4Y,4.0047,35D_CALL,0.35,11.3563
4Y,4.0047,35D_PUT,0.65,11.5638
4Y,4.0047,25D_CALL,0.25,11.5275
4Y,4.0047,25D_PUT,0.75,11.9125
4Y,4.0047,15D_CALL,0.15,11.97
4Y,4.0047,15D_PUT,0.85,12.54
4Y,4.0047,10D_CALL,0.1,12.34
4Y,4.0047,10D_PUT,0.9,13.065
5Y,5.0019,ATM,0.5,11.545
5Y,5.0019,35D_CALL,0.35,11.5913
5Y,5.0019,35D_PUT,0.65,11.7388
5Y,5.0019,25D_CALL,0.25,11.7838
5Y,5.0019,25D_PUT,0.75,12.0663
5Y,5.0019,15D_CALL,0.15,12.2575
5Y,5.0019,15D_PUT,0.85,12.6675
5Y,5.0019,10D_CALL,0.1,12.6475
5Y,5.0019,10D_PUT,0.9,13.1775
7Y,7.0074,ATM,0.5,11.86
7Y,7.0074,35D_CALL,0.35,11.9125
7Y,7.0074,35D_PUT,0.65,12.0625
7Y,7.0074,25D_CALL,0.25,12.1025
7Y,7.0074,25D_PUT,0.75,12.3875
7Y,7.0074,15D_CALL,0.15,12.5275
7Y,7.0074,15D_PUT,0.85,12.9725
7Y,7.0074,10D_CALL,0.1,12.8875
7Y,7.0074,10D_PUT,0.9,13.4625
10Y,10.0074,ATM,0.5,12.1525
10Y,10.0074,35D_CALL,0.35,12.1312
10Y,10.0074,35D_PUT,0.65,12.3987
10Y,10.0074,25D_CALL,0.25,12.265
10Y,10.0074,25D_PUT,0.75,12.76
10Y,10.0074,15D_CALL,0.15,12.6437
10Y,10.0074,15D_PUT,0.85,13.4112
10Y,10.0074,10D_CALL,0.1,12.96
10Y,10.0074,10D_PUT,0.9,13.955